Nationality ,FIFA Ranking ,National Team Kit Sponsor,Position_x,National Team Jersey Number,Player DOB,Club ,Player Name , Appearances,Goals Scored ,Assists Provided ,Dribbles per 90,Interceptions per 90,Tackles per 90,Total Duels Won per 90,Save Percentage,Clean Sheets,Brand Sponsor/Brand Used,Nationality_x,Player Name,ID,Name,Age,Photo,Nationality_y,Flag,Overall,Potential,Club,Club Logo,Value,Wage,Special,Preferred Foot,International Reputation,Weak Foot,Skill Moves,Work Rate,Body Type,Real Face,Position_y,Jersey Number,Joined,Loaned From,Contract Valid Until,Height,Weight,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,Best Position,Best Overall Rating,Release Clause,DefensiveAwareness
Argentina,2,Adidas,DF,13.0,"Apr 27, 1998",Tottenham,C. Romero,7,0,0,0.16,0.49,0.82,5.09,-,-,Nike,Argentina,L. Messi,232488,C. Romero,23,https://cdn.sofifa.com/players/232/488/22_60.png,Argentina,https://cdn.sofifa.com/flags/ar.png,82,87,Tottenham Hotspur,https://cdn.sofifa.com/teams/18/30.png,€41.5M,€51K,1841,Right,3.0,2.0,3.0,Low/ High,Normal (185+),No,"<span class=""pos pos28"">SUB",4.0,,"<a href=""/team/39/atalanta/"">Atalanta</a>","Jun 30, 2022",185cm,79kg,39.0,48.0,83.0,69.0,53.0,50.0,43.0,38.0,49.0,68.0,80.0,73.0,72.0,81.0,68.0,51.0,86.0,83.0,82.0,37.0,89.0,80.0,39.0,43.0,40.0,78.0,,84.0,83.0,5.0,7.0,11.0,10.0,14.0,CB,85.0,,83.0
Argentina,2,Adidas,DF,25.0,"Jan 18, 1998",Manchester United,L. Martinez,5,0,0,0.30,0.90,1.50,4.19,-,-,Adidas,Argentina,L. Messi,231478,L. Martinez,23,https://cdn.sofifa.com/players/231/478/22_60.png,Argentina,https://cdn.sofifa.com/flags/ar.png,85,89,Inter,https://cdn.sofifa.com/teams/44/30.png,€78M,€145K,2145,Right,3.0,4.0,4.0,High/ Medium,Unique,Yes,"<span class=""pos pos26"">LS",10.0,"Jul 5, 2018",,2023,174cm,72kg,56.0,85.0,87.0,78.0,88.0,83.0,78.0,43.0,73.0,85.0,86.0,83.0,86.0,89.0,89.0,80.0,88.0,80.0,84.0,74.0,86.0,45.0,86.0,81.0,74.0,83.0,,31.0,44.0,11.0,8.0,8.0,8.0,13.0,ST,87.0,€138.5M,55.0
Argentina,2,Adidas,MF,5.0,"Jun 29, 1994",Juventus,L. Paredes,5,0,0,0.40,1.21,4.02,9.24,-,-,Nike,Argentina,L. Messi,207439,L. Paredes,27,https://cdn.sofifa.com/players/207/439/22_60.png,Argentina,https://cdn.sofifa.com/flags/ar.png,81,83,Paris Saint-Germain,https://cdn.sofifa.com/teams/73/30.png,€28M,€81K,2175,Right,2.0,4.0,4.0,Medium/ Medium,Normal (170-185),Yes,"<span class=""pos pos28"">SUB",8.0,"Jan 29, 2019",,2023,180cm,75kg,79.0,61.0,60.0,84.0,71.0,79.0,80.0,78.0,85.0,81.0,67.0,66.0,71.0,78.0,75.0,88.0,66.0,79.0,77.0,77.0,89.0,75.0,76.0,84.0,64.0,84.0,,78.0,80.0,9.0,14.0,6.0,9.0,10.0,CM,83.0,€53.9M,79.0
Argentina,2,Adidas,MF,7.0,"May 24, 1994",Atletico Madrid,R. DePaul,7,0,0,0.60,1.05,1.79,4.64,-,-,Adidas,Argentina,L. Messi,212616,R. DePaul,27,https://cdn.sofifa.com/players/212/616/22_60.png,Argentina,https://cdn.sofifa.com/flags/ar.png,82,83,Atlético de Madrid,https://cdn.sofifa.com/teams/240/30.png,€35M,€68K,2179,Right,1.0,3.0,4.0,High/ Medium,Normal (170-185),No,"<span class=""pos pos28"">SUB",5.0,"Jul 12, 2021",,2026,180cm,70kg,69.0,76.0,50.0,85.0,70.0,81.0,84.0,73.0,81.0,85.0,81.0,76.0,78.0,81.0,79.0,80.0,67.0,86.0,81.0,78.0,69.0,74.0,78.0,80.0,65.0,80.0,,79.0,69.0,13.0,12.0,10.0,7.0,14.0,CM,83.0,€74.4M,68.0
Argentina,2,Adidas,MF,18.0,"Apr 12, 1994",Real Betis,G. Rodriguez,1,0,0,0.00,0.00,3.16,6.32,-,-,Adidas,Argentina,L. Messi,225659,G. Rodriguez,26,https://cdn.sofifa.com/players/225/659/22_60.png,Argentina,https://cdn.sofifa.com/flags/ar.png,78,79,Real Betis Balompié,https://cdn.sofifa.com/teams/449/30.png,€15M,€24K,1862,Right,1.0,4.0,2.0,Medium/ High,Lean (185+),Yes,"<span class=""pos pos9"">RDM",21.0,"Jan 14, 2020",,2024,185cm,80kg,59.0,43.0,73.0,75.0,47.0,63.0,49.0,42.0,72.0,75.0,53.0,55.0,49.0,75.0,50.0,77.0,42.0,77.0,79.0,69.0,83.0,82.0,56.0,65.0,53.0,70.0,,81.0,77.0,12.0,11.0,14.0,16.0,6.0,CDM,78.0,€32.6M,82.0
Argentina,2,Adidas,MF,14.0,"Oct 5, 1998",Bayer Leverkusen,E. Palacios,3,0,0,0.00,3.83,1.91,7.66,-,-,Adidas,Argentina,L. Messi,231521,E. Palacios,22,https://cdn.sofifa.com/players/231/521/22_60.png,Argentina,https://cdn.sofifa.com/flags/ar.png,77,83,Bayer 04 Leverkusen,https://cdn.sofifa.com/teams/32/30.png,€17M,€41K,2019,Right,2.0,4.0,4.0,High/ High,Lean (170-185),No,"<span class=""pos pos28"">SUB",25.0,"Jan 1, 2020",,2025,177cm,67kg,67.0,70.0,59.0,80.0,63.0,76.0,68.0,47.0,78.0,80.0,74.0,39.0,78.0,69.0,79.0,81.0,70.0,83.0,63.0,76.0,78.0,72.0,67.0,78.0,63.0,78.0,,76.0,74.0,10.0,5.0,8.0,9.0,6.0,CM,79.0,€32.3M,73.0
Argentina,2,Adidas,MF,20.0,"Dec 24, 1998",Brighton,A. MacAllister,6,1,1,0.97,0.49,1.46,5.85,-,-,Adidas,Argentina,L. Messi,239837,A. MacAllister,22,https://cdn.sofifa.com/players/239/837/22_60.png,Argentina,https://cdn.sofifa.com/flags/ar.png,75,82,Brighton & Hove Albion,https://cdn.sofifa.com/teams/1808/30.png,€11.5M,€42K,1995,Right,1.0,3.0,3.0,Medium/ Medium,Normal (170-185),No,"<span class=""pos pos28"">SUB",10.0,"Jul 1, 2019",,2023,174cm,72kg,79.0,77.0,61.0,76.0,63.0,74.0,83.0,81.0,75.0,77.0,73.0,68.0,71.0,70.0,72.0,74.0,64.0,68.0,63.0,80.0,51.0,45.0,73.0,77.0,74.0,72.0,,54.0,51.0,7.0,10.0,14.0,15.0,10.0,CAM,77.0,€24.2M,65.0
Argentina,2,Adidas,MF,24.0,"Jan 17, 2001",Benfica,E. Fernandez,7,1,1,0.80,0.48,3.52,7.83,,-,Nike,Argentina,L. Messi,247090,E. Fernandez,20,https://cdn.sofifa.com/players/247/090/22_60.png,Argentina,https://cdn.sofifa.com/flags/ar.png,73,84,River Plate,https://cdn.sofifa.com/teams/1876/30.png,€6.5M,€10K,1987,Right,1.0,3.0,2.0,Medium/ High,Normal (170-185),No,"<span class=""pos pos28"">SUB",13.0,"Jan 1, 2019",,2023,180cm,77kg,66.0,54.0,52.0,79.0,58.0,72.0,71.0,67.0,72.0,74.0,71.0,73.0,75.0,73.0,73.0,69.0,63.0,79.0,69.0,61.0,82.0,70.0,67.0,74.0,64.0,78.0,,76.0,74.0,8.0,6.0,7.0,8.0,10.0,CDM,76.0,€10.4M,70.0
Argentina,2,Adidas,MF,17.0,"Apr 26, 2001",Atlanta United,A. Gomez,2,0,0,0.83,0.83,1.65,8.26,-,-,Adidas,Argentina,L. Messi,143076,A. Gomez,33,https://cdn.sofifa.com/players/143/076/22_60.png,Argentina,https://cdn.sofifa.com/flags/ar.png,85,85,Sevilla FC,https://cdn.sofifa.com/teams/481/30.png,€33.5M,€51K,2060,Right,3.0,4.0,4.0,High/ Medium,Normal (170-),Yes,"<span class=""pos pos15"">LCM",24.0,"Jan 26, 2021",,2024,167cm,68kg,83.0,77.0,38.0,85.0,72.0,85.0,85.0,79.0,80.0,86.0,91.0,83.0,93.0,86.0,93.0,79.0,70.0,75.0,44.0,82.0,56.0,40.0,80.0,86.0,72.0,85.0,,30.0,34.0,8.0,11.0,12.0,9.0,6.0,CAM,85.0,€70.4M,50.0
Argentina,2,Adidas,FW,10.0,"Jun 24, 1987",PSG,L. Messi,7,7,3,3.78,0.00,0.65,6.39,-,-,Adidas,Argentina,L. Messi,158023,L. Messi,34,https://cdn.sofifa.com/players/158/023/22_60.png,Argentina,https://cdn.sofifa.com/flags/ar.png,93,93,Paris Saint-Germain,https://cdn.sofifa.com/teams/73/30.png,€78M,€320K,2219,Left,5.0,4.0,4.0,Medium/ Low,Unique,Yes,"<span class=""pos pos23"">RW",30.0,"Aug 10, 2021",,2023,170cm,72kg,85.0,95.0,70.0,91.0,88.0,96.0,93.0,94.0,91.0,96.0,91.0,80.0,91.0,94.0,95.0,86.0,68.0,72.0,69.0,94.0,44.0,40.0,93.0,95.0,75.0,96.0,,35.0,24.0,6.0,11.0,15.0,14.0,8.0,RW,93.0,€144.3M,20.0
Argentina,2,Adidas,FW,21.0,"Nov 15, 1993",Roma,P. Dybala,2,0,0,5.62,0.00,N.A,N.A,-,-,Adidas,Argentina,L. Messi,211110,P. Dybala,27,https://cdn.sofifa.com/players/211/110/22_60.png,Argentina,https://cdn.sofifa.com/flags/ar.png,87,88,Juventus,https://cdn.sofifa.com/teams/45/30.png,€93M,€160K,2134,Left,3.0,3.0,4.0,Medium/ Medium,Unique,Yes,"<span class=""pos pos18"">CAM",10.0,"Jul 1, 2015",,2022,177cm,75kg,82.0,85.0,59.0,87.0,88.0,90.0,90.0,88.0,79.0,93.0,88.0,80.0,92.0,80.0,94.0,84.0,75.0,70.0,61.0,89.0,43.0,42.0,82.0,91.0,84.0,79.0,,41.0,39.0,5.0,4.0,4.0,5.0,8.0,CAM,89.0,€160.4M,32.0
Argentina,2,Adidas,FW,16.0,"April 26, 2001",Inter,T. Almada,1,0,0,0.00,0.00,0.00,0.00,-,-,Adidas,Argentina,L. Messi,245371,T. Almada,20,https://cdn.sofifa.com/players/245/371/22_60.png,Argentina,https://cdn.sofifa.com/flags/ar.png,74,86,Vélez Sarsfield,https://cdn.sofifa.com/teams/101088/30.png,€10M,€10K,1985,Right,1.0,4.0,4.0,High/ Low,Normal (170-185),No,"<span class=""pos pos28"">SUB",10.0,"Jul 23, 2018",,2023,171cm,62kg,64.0,70.0,39.0,72.0,73.0,82.0,83.0,65.0,67.0,78.0,90.0,81.0,92.0,68.0,93.0,75.0,55.0,74.0,57.0,71.0,63.0,58.0,66.0,69.0,76.0,81.0,,57.0,53.0,12.0,8.0,9.0,8.0,10.0,CAM,76.0,€17M,47.0
Argentina,2,Adidas,FW,9.0,"Jan 31, 2000",Manchester City,J. Alvarez,7,4,0,0.58,0.00,0.77,1.93,,-,Adidas,Argentina,L. Messi,246191,J. Alvarez,21,https://cdn.sofifa.com/players/246/191/22_60.png,Argentina,https://cdn.sofifa.com/flags/ar.png,75,85,River Plate,https://cdn.sofifa.com/teams/1876/30.png,€12.5M,€14K,1960,Right,1.0,3.0,4.0,High/ Medium,Normal (170-),No,"<span class=""pos pos28"">SUB",9.0,"Aug 30, 2018",,2022,170cm,71kg,71.0,75.0,66.0,73.0,69.0,72.0,75.0,73.0,67.0,76.0,81.0,86.0,84.0,70.0,79.0,80.0,72.0,70.0,52.0,70.0,76.0,37.0,73.0,72.0,69.0,78.0,,37.0,33.0,6.0,10.0,8.0,15.0,6.0,CAM,76.0,€20M,57.0
Argentina,2,Adidas,FW,11.0,"Feb 14, 1988",Juventus,A. DiMaria,5,1,1,6.83,0.31,0.93,7.14,-,-,Adidas,Argentina,L. Messi,183898,A. DiMaria,33,https://cdn.sofifa.com/players/183/898/22_60.png,Argentina,https://cdn.sofifa.com/flags/ar.png,87,87,Paris Saint-Germain,https://cdn.sofifa.com/teams/73/30.png,€49.5M,€160K,2177,Left,4.0,2.0,5.0,High/ Medium,Unique,Yes,"<span class=""pos pos28"">SUB",11.0,"Aug 6, 2015",,2022,180cm,69kg,88.0,79.0,51.0,84.0,78.0,88.0,91.0,88.0,82.0,87.0,83.0,83.0,94.0,84.0,76.0,83.0,73.0,78.0,62.0,86.0,73.0,42.0,84.0,88.0,73.0,86.0,,55.0,52.0,10.0,7.0,11.0,12.0,11.0,RW,87.0,€91.6M,41.0
Argentina,2,Adidas,FW,15.0,"March 9, 1995",Atletico Madrid,A. Correa,1,0,0,0.00,0.00,N.A,N.A,-,-,Nike,Argentina,L. Messi,214997,A. Correa,26,https://cdn.sofifa.com/players/214/997/22_60.png,Argentina,https://cdn.sofifa.com/flags/ar.png,83,86,Atlético de Madrid,https://cdn.sofifa.com/teams/240/30.png,€48M,€80K,2127,Right,2.0,4.0,4.0,High/ Medium,Normal (170-185),Yes,"<span class=""pos pos28"">SUB",10.0,"Dec 13, 2014",,2024,171cm,70kg,75.0,85.0,69.0,82.0,80.0,88.0,82.0,65.0,66.0,87.0,86.0,85.0,90.0,84.0,87.0,83.0,49.0,82.0,71.0,86.0,79.0,48.0,84.0,84.0,55.0,76.0,,53.0,44.0,13.0,10.0,9.0,8.0,16.0,CAM,86.0,€102M,42.0
France,3,Nike,GK,1.0,"Dec 26, 1986",Tottenham,H. Lloris,6,-,-,-,-,-,1.10,70.83%,17%,Nike,France,L. Messi,167948,H. Lloris,34,https://cdn.sofifa.com/players/167/948/22_60.png,France,https://cdn.sofifa.com/flags/fr.png,87,87,Tottenham Hotspur,https://cdn.sofifa.com/teams/18/30.png,€13.5M,€125K,1372,Left,4.0,1.0,1.0,Medium/ Medium,Unique,Yes,"<span class=""pos pos0"">GK",1.0,"Aug 31, 2012",,2022,188cm,82kg,13.0,10.0,10.0,50.0,11.0,10.0,11.0,10.0,50.0,34.0,61.0,62.0,55.0,85.0,54.0,49.0,74.0,41.0,43.0,14.0,31.0,27.0,10.0,50.0,40.0,65.0,,10.0,18.0,88.0,83.0,65.0,84.0,90.0,GK,87.0,€25.7M,29.0
France,3,Nike,GK,23.0,"Feb 27, 1993",West Ham United,A. Areola,-,-,-,-,-,-,-,-,-,Nike,France,L. Messi,193105,A. Areola,28,https://cdn.sofifa.com/players/193/105/22_60.png,France,https://cdn.sofifa.com/flags/fr.png,82,84,West Ham United,https://cdn.sofifa.com/teams/19/30.png,€26M,€75K,1378,Right,2.0,3.0,1.0,Medium/ Medium,Unique,Yes,"<span class=""pos pos28"">SUB",13.0,,"<a href=""/team/73/paris-saint-germain/"">Paris Saint-Germain</a>","Jun 30, 2022",195cm,94kg,20.0,19.0,14.0,48.0,16.0,15.0,16.0,16.0,37.0,22.0,56.0,54.0,58.0,78.0,58.0,57.0,72.0,38.0,80.0,14.0,26.0,23.0,17.0,51.0,25.0,64.0,,18.0,12.0,85.0,79.0,76.0,80.0,85.0,GK,82.0,,13.0
France,3,Nike,GK,16.0,"Mar 28, 1985",Rennes,S. Mandanda,1,-,-,-,-,-,0.00,66.67%,0%,Puma,France,L. Messi,163705,S. Mandanda,36,https://cdn.sofifa.com/players/163/705/22_60.png,France,https://cdn.sofifa.com/flags/fr.png,81,81,Olympique de Marseille,https://cdn.sofifa.com/teams/219/30.png,€2.9M,€24K,1275,Right,3.0,3.0,1.0,Medium/ Medium,Normal (185+),Yes,"<span class=""pos pos28"">SUB",30.0,"Jul 11, 2017",,2024,185cm,82kg,14.0,13.0,13.0,46.0,13.0,19.0,13.0,12.0,36.0,27.0,53.0,43.0,52.0,80.0,36.0,59.0,69.0,31.0,61.0,7.0,37.0,23.0,11.0,55.0,11.0,62.0,,15.0,13.0,80.0,80.0,78.0,81.0,81.0,GK,81.0,€5.5M,13.0
France,3,Nike,DF,2.0,"Mar 28, 1996",Bayern Munich,B. Pavard,1,0,0,0.00,1.01,0.00,0.00,-,-,Adidas,France,L. Messi,226851,B. Pavard,25,https://cdn.sofifa.com/players/226/851/22_60.png,France,https://cdn.sofifa.com/flags/fr.png,79,82,FC Bayern München,https://cdn.sofifa.com/teams/21/30.png,€21.5M,€64K,2000,Right,3.0,3.0,3.0,Low/ High,Normal (185+),Yes,"<span class=""pos pos3"">RB",5.0,"Jul 1, 2019",,2024,186cm,81kg,77.0,43.0,80.0,75.0,70.0,68.0,63.0,51.0,76.0,77.0,68.0,69.0,66.0,76.0,66.0,71.0,86.0,79.0,76.0,53.0,69.0,78.0,58.0,66.0,51.0,76.0,,79.0,80.0,9.0,7.0,15.0,7.0,15.0,RB,80.0,€37.1M,76.0
France,3,Nike,DF,5.0,"Nov 12, 1998",Barcelona,J. Kounde,6,0,0,0.56,1.12,2.06,4.87,-,-,Adidas,France,L. Messi,241486,J. Kounde,22,https://cdn.sofifa.com/players/241/486/22_60.png,France,https://cdn.sofifa.com/flags/fr.png,83,89,Sevilla FC,https://cdn.sofifa.com/teams/481/30.png,€53M,€33K,1914,Right,2.0,3.0,2.0,High/ High,Normal (170-185),No,"<span class=""pos pos4"">RCB",23.0,"Jul 3, 2019",,2024,181cm,75kg,45.0,47.0,79.0,80.0,32.0,69.0,42.0,26.0,75.0,74.0,81.0,81.0,71.0,85.0,74.0,48.0,88.0,76.0,79.0,40.0,75.0,86.0,47.0,62.0,43.0,82.0,,85.0,83.0,11.0,10.0,8.0,14.0,13.0,CB,84.0,€121.9M,85.0
France,3,Nike,DF,4.0,"Apr 25, 1993",Man Utd,R. Varane,6,0,0,0.17,1.04,0.17,1.90,-,-,Puma,France,L. Messi,201535,R. Varane,28,https://cdn.sofifa.com/players/201/535/22_60.png,France,https://cdn.sofifa.com/flags/fr.png,86,88,Manchester United,https://cdn.sofifa.com/teams/11/30.png,€68.5M,€180K,1931,Right,3.0,3.0,2.0,Medium/ High,Unique,Yes,"<span class=""pos pos4"">RCB",19.0,"Jul 27, 2021",,2025,191cm,81kg,42.0,46.0,86.0,78.0,42.0,55.0,46.0,52.0,76.0,78.0,79.0,85.0,62.0,84.0,39.0,52.0,81.0,76.0,86.0,53.0,80.0,85.0,55.0,59.0,43.0,83.0,,88.0,87.0,11.0,11.0,9.0,5.0,14.0,CB,87.0,€131.9M,86.0
